loc,lloc,scloc,comments,single_comments,multi_comments,blanks,h1,h2,n1,n2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,Experince Based ,LargeClass,smell_type
96,50,47,3,3,28,18,9,35,29,56,44,85,208.0542306,464.0516876,7.2,3341.172151,185.620675,0.154683896,1.0,,LongMethod
163,86,88,4,4,42,29,8,33,27,49,41,76,190.4650059,407.1739524,5.939393939,2418.366505,134.3536947,0.135724651,1.0,,LongMethod
178,87,109,11,11,22,36,11,94,94,182,105,276,654.1850999,1853.131763,10.64893617,19733.88186,1096.32677,0.617710588,1.0,,LongMethod
88,52,52,21,22,0,14,8,30,23,43,38,66,171.2067179,346.3632159,5.733333333,1985.815771,110.3230984,0.115454405,1.0,,LongMethod
89,36,40,5,5,24,20,6,15,10,16,21,26,74.11313394,114.200253,3.2,365.4408096,20.3022672,0.038066751,1.0,,LongMethod
57,20,51,2,2,0,4,1,7,6,12,8,18,19.65148445,54.0,0.857142857,46.28571429,2.571428571,0.018,1.0,,LongMethod
93,62,70,13,11,0,12,2,7,39,41,9,80,21.65148445,253.5940001,5.857142857,1485.336286,82.51868258,0.084531333,1.0,,LongMethod
95,72,76,10,9,0,10,7,67,49,96,74,145,426.0794602,900.370738,5.014925373,4515.292059,250.8495589,0.300123579,1.0,,LongMethod
57,36,40,9,9,0,8,5,15,14,26,20,40,70.21299941,172.8771238,4.333333333,749.1342031,41.61856684,0.057625708,1.0,,LongMethod
56,42,46,5,5,0,5,6,29,24,46,35,70,156.3912239,359.0498112,4.75862069,1708.58186,94.92121445,0.11968327,1.0,,LongMethod
147,69,76,15,14,33,24,10,52,31,63,62,94,329.6421463,559.6944532,6.057692308,3390.456784,188.3587102,0.186564818,1.0,,LongMethod
68,47,44,0,0,9,15,4,14,12,24,18,36,61.30296891,150.1173001,3.428571429,514.6878859,28.59377144,0.0500391,1.0,,LongMethod
77,60,54,2,2,0,21,11,50,54,100,61,154,320.2465573,913.33355,11.0,10046.66905,558.1482805,0.304444517,1.0,,LongMethod
76,35,42,0,0,28,6,6,30,21,42,36,63,162.7164929,325.7052751,4.2,1367.962155,75.99789752,0.108568425,1.0,,LongMethod
181,149,143,18,18,0,20,8,25,18,36,33,54,140.0964047,272.3972824,5.76,1569.008347,87.16713038,0.090799094,1.0,,LongMethod
310,48,79,9,9,177,45,12,33,22,43,45,65,209.4845559,356.9704513,7.818181818,2790.859892,155.0477718,0.11899015,1.0,,LongMethod
234,98,157,27,27,28,22,16,56,62,122,72,184,389.2118756,1135.2662,17.42857143,19786.06806,1099.226003,0.378422067,1.0,,LongMethod
316,38,47,0,0,231,38,9,27,23,39,36,62,156.9112876,320.5353501,6.5,2083.479776,115.7488764,0.106845117,1.0,,LongMethod
106,50,51,2,2,44,9,11,42,33,64,53,97,264.5310796,555.6082841,8.380952381,4656.526571,258.6959206,0.185202761,1.0,,LongMethod
104,50,52,10,10,31,11,11,45,40,78,56,118,285.1871371,685.2678808,9.533333333,6532.88713,362.9381739,0.228422627,1.0,,LongMethod
96,42,67,19,10,0,19,5,23,17,25,28,42,115.6515655,201.9089067,2.717391304,548.6655074,30.48141708,0.067302969,1.0,,LongMethod
211,95,100,0,0,96,15,17,74,69,122,91,191,528.9864174,1242.988776,14.01351351,17418.64001,967.702223,0.414329592,1.0,,LongMethod
209,81,84,0,0,108,17,16,69,68,122,85,190,485.4881875,1217.784278,14.14492754,17225.47037,956.9705758,0.405928093,1.0,,LongMethod
190,92,101,1,0,79,10,16,127,117,217,143,334,951.5629552,2391.397026,13.66929134,32688.70266,1816.039037,0.797132342,1.0,,LongMethod
136,48,62,8,8,40,26,10,57,45,78,67,123,365.6940118,746.1289704,6.842105263,5105.092956,283.6162753,0.248709657,1.0,,LongMethod
111,111,87,14,14,0,10,9,173,174,308,182,482,1314.720008,3618.757017,8.011560694,28991.89147,1610.660637,1.206252339,1.0,,LongMethod
114,72,74,1,1,0,39,8,44,23,45,52,68,264.2149912,387.6299008,4.090909091,1585.758685,88.09770473,0.129209967,1.0,,LongMethod
59,42,41,0,1,0,17,5,12,8,14,17,22,54.62919048,89.92418251,2.916666667,262.2788656,14.57104809,0.029974728,1.0,,LongMethod
112,67,64,33,34,0,14,5,19,11,21,24,32,92.32026323,146.7188,2.763157895,405.4072106,22.52262281,0.048906267,1.0,,LongMethod
63,48,41,17,16,0,6,1,9,6,12,10,18,28.52932501,59.79470571,0.666666667,39.86313714,2.21461873,0.019931569,1.0,,LongMethod
72,47,45,17,17,0,10,1,1,4,4,2,8,0.0,8.0,2.0,16.0,0.888888889,0.002666667,1.0,,LongMethod
113,45,54,0,0,44,15,11,38,25,47,49,72,237.4749933,404.2591088,6.802631579,2750.025779,152.77921,0.134753036,1.0,,LongMethod
207,77,96,15,15,67,29,14,66,49,97,80,146,452.2329808,923.0015019,10.28787879,9495.727572,527.5404207,0.307667167,1.0,,LongMethod
158,60,66,16,12,60,20,15,35,28,51,50,79,238.1282645,445.864639,10.92857143,4872.663555,270.7035308,0.148621546,1.0,,LongMethod
122,61,60,1,0,47,15,9,44,29,56,53,85,268.7443162,486.8732386,5.727272727,2788.455821,154.9142123,0.16229108,1.0,,LongMethod
140,67,62,1,1,57,20,14,44,37,67,58,104,293.5179601,609.2300235,10.65909091,6493.838205,360.7687892,0.203076674,1.0,,LongMethod
56,43,50,4,4,0,2,8,110,70,137,118,207,769.9495685,1424.707111,4.981818182,7097.63179,394.3128772,0.47490237,1.0,,LongMethod
137,68,67,17,17,39,14,14,53,43,84,67,127,356.882753,770.3933272,11.09433962,8547.005215,474.833623,0.256797776,1.0,,LongMethod
89,51,45,10,10,20,14,11,32,30,55,43,85,198.0537478,461.2325041,9.453125,4360.088516,242.2271398,0.153744168,1.0,,LongMethod
114,79,82,7,4,14,14,14,50,41,81,64,122,335.4957784,732.0,11.34,8300.88,461.16,0.244,1.0,,LongMethod
127,77,83,0,0,40,4,11,52,35,69,63,104,334.4766131,621.637112,7.298076923,4536.755462,252.0419701,0.207212371,1.0,,LongMethod
159,46,45,10,10,77,27,8,19,15,29,27,44,104.7106228,209.2150501,6.105263158,1277.312937,70.96182986,0.06973835,1.0,,LongMethod
153,62,61,5,6,58,28,10,16,15,27,26,42,97.21928095,197.4184682,8.4375,1665.718325,92.53990695,0.065806156,1.0,,LongMethod
111,85,84,10,10,2,15,15,51,46,85,66,131,347.8970514,791.8156296,12.5,9897.69537,549.871965,0.263938543,1.0,,LongMethod
73,63,70,0,0,0,3,13,29,28,49,42,77,188.9871652,415.2084416,10.98275862,4560.134091,253.3407828,0.138402814,1.0,,LongMethod
137,73,74,1,1,47,15,9,32,25,45,41,70,188.529325,375.0286403,6.328125,2373.228115,131.8460064,0.125009547,1.0,,LongMethod
117,73,74,1,1,29,13,8,28,28,45,36,73,158.6059378,377.4045251,6.428571429,2426.171947,134.7873304,0.125801508,1.0,,LongMethod
78,50,57,1,1,10,10,5,38,33,66,43,99,211.030886,537.2002107,4.342105263,2332.579862,129.5877701,0.179066737,1.0,,LongMethod
159,94,97,9,9,35,18,9,42,34,66,51,100,255.0066568,567.2425342,7.071428571,4011.215063,222.8452813,0.189080845,1.0,,LongMethod
123,51,59,6,5,38,21,15,36,28,55,51,83,244.720659,470.8113034,11.45833333,5394.712851,299.7062695,0.156937101,1.0,,LongMethod
84,53,54,20,18,3,9,11,46,34,70,57,104,292.1375978,606.6205615,8.369565217,5077.150351,282.0639084,0.202206854,1.0,,LongMethod
104,47,61,0,0,33,10,10,24,20,35,34,55,143.258381,279.8104563,7.291666667,2040.284577,113.3491432,0.093270152,1.0,,LongMethod
191,53,76,1,0,97,18,12,40,29,54,52,83,255.8966738,473.1364966,8.1,3832.405623,212.9114235,0.157712166,1.0,,LongMethod
158,53,54,7,7,74,23,11,32,19,37,43,56,198.0537478,303.8708263,6.359375,1932.428536,107.3571409,0.101290275,1.0,,LongMethod
146,66,81,5,5,32,28,11,32,23,45,43,68,198.0537478,368.9860033,7.734375,2853.876119,158.5486733,0.122995334,1.0,,LongMethod
156,112,116,5,3,16,21,14,79,78,138,93,216,551.301648,1412.458303,12.2278481,17271.32558,959.5180878,0.470819434,1.0,,LongMethod
138,101,106,5,3,17,12,15,66,45,88,81,133,457.5333708,843.2000504,10.0,8432.000504,468.4444724,0.281066683,1.0,,LongMethod
111,75,82,1,1,17,11,13,51,34,66,64,100,337.3994088,600.0,8.411764706,5047.058824,280.3921569,0.2,1.0,,LongMethod
157,115,122,11,5,16,14,13,81,62,117,94,179,561.6335666,1173.271404,9.388888889,11015.71485,611.9841585,0.391090468,1.0,,LongMethod
136,98,104,5,3,10,19,15,97,93,186,112,279,698.7949046,1899.252023,14.3814433,27313.98528,1517.443627,0.633084008,1.0,,LongMethod
70,56,57,1,0,8,5,9,52,43,84,61,127,324.9521904,753.2036419,7.269230769,5475.211089,304.1783938,0.251067881,1.0,,LongMethod
101,68,67,1,0,28,6,7,62,66,132,69,198,388.8116557,1209.487842,7.451612903,9012.635213,500.7019563,0.403162614,1.0,,LongMethod
120,82,88,3,3,18,11,12,52,47,92,64,139,339.4424154,834.0,10.61538462,8853.230769,491.8461538,0.278,1.0,,LongMethod
226,61,63,4,4,132,27,11,19,19,33,30,52,118.7643706,255.158311,9.552631579,2437.433339,135.4129633,0.08505277,1.0,,LongMethod
155,45,79,2,2,53,21,7,21,13,24,28,37,111.8901503,177.8721321,4.0,711.4885285,39.52714047,0.059290711,1.0,,LongMethod
277,155,172,44,44,15,46,18,136,103,195,154,298,1038.953596,2165.502389,12.90441176,27944.53451,1552.474139,0.72183413,1.0,,LongMethod
161,72,78,3,3,61,19,8,41,25,43,49,68,243.6596322,381.8002694,4.195121951,1601.698691,88.98326062,0.127266756,1.0,,LongMethod
119,52,52,6,6,53,8,12,51,48,96,63,144,332.3132424,860.728309,11.29411765,9721.166784,540.0648213,0.286909436,1.0,,LongMethod
340,50,57,10,10,217,56,5,17,11,20,22,31,81.09650878,138.2423802,2.941176471,406.5952358,22.58862421,0.046080793,1.0,,LongMethod
179,63,63,15,15,81,20,12,37,33,61,49,94,235.7693245,527.7827253,9.891891892,5220.769662,290.042759,0.175927575,1.0,,LongMethod
434,189,194,57,57,124,59,15,118,126,213,133,339,870.7552388,2391.740746,13.53813559,32379.71052,1798.872807,0.797246915,1.0,,LongMethod
427,78,96,10,10,263,58,9,72,54,106,81,160,472.7639251,1014.376,6.625,6720.241003,373.3467224,0.338125333,1.0,,LongMethod
181,39,45,2,2,106,28,7,25,18,34,32,52,135.7478892,260.0,4.76,1237.6,68.75555556,0.086666667,1.0,,LongMethod
150,61,64,13,13,43,30,13,49,29,57,62,86,323.2264987,512.0608827,7.56122449,3871.807286,215.1004048,0.170686961,1.0,,LongMethod
74,31,38,8,8,20,8,7,20,13,24,27,37,106.0900464,175.9308376,4.2,738.9095178,41.05052877,0.058643613,1.0,,LongMethod
126,46,48,5,5,46,27,9,44,31,62,53,93,268.7443162,532.6966023,6.340909091,3377.780728,187.6544849,0.177565534,1.0,,LongMethod
266,77,75,25,20,119,52,10,40,30,51,50,81,246.0964047,457.1523514,6.375,2914.34624,161.9081244,0.152384117,1.0,,LongMethod
176,68,72,5,5,75,24,15,54,42,82,69,124,369.3672841,757.4570326,11.38888889,8626.593983,479.2552213,0.252485678,1.0,,LongMethod
154,58,68,13,5,59,22,10,99,85,165,109,250,689.5255863,1692.046081,8.333333333,14100.38401,783.3546672,0.56401536,1.0,,LongMethod
146,52,62,7,3,59,22,8,100,83,164,108,247,688.385619,1668.457213,6.56,10945.07932,608.0599621,0.556152404,1.0,,LongMethod
123,41,46,5,1,57,19,8,62,53,104,70,157,393.1601712,962.2974337,6.709677419,6456.705361,358.7058534,0.320765811,1.0,,LongMethod
80,45,51,2,2,10,17,12,76,72,136,88,208,517.862041,1343.561777,10.73684211,14425.61065,801.4228142,0.447853926,1.0,,LongMethod
173,41,45,16,16,75,37,15,43,35,69,58,104,291.9327434,609.2300235,12.03488372,7332.012492,407.3340273,0.203076674,1.0,,LongMethod
178,55,57,8,8,81,32,17,67,56,107,84,163,475.9148441,1041.94774,13.57462687,14144.05178,785.7806546,0.347315913,1.0,,LongMethod
155,68,70,23,23,42,20,12,50,43,82,62,125,325.2123595,744.2745388,9.84,7323.661462,406.8700812,0.248091513,1.0,,LongMethod
123,78,84,24,24,6,9,12,48,57,112,60,169,311.09775,998.2645107,14.0,13975.70315,776.4279527,0.332754837,1.0,,LongMethod
131,57,57,5,5,53,16,12,43,32,64,55,96,276.3489345,555.0105325,8.930232558,4956.373127,275.3540626,0.185003511,1.0,,LongMethod
277,154,154,18,18,68,37,18,96,116,193,114,309,707.2150501,2111.363014,18.09375,38202.47454,2122.359697,0.703787671,1.0,,LongMethod
69,46,45,5,4,13,7,8,64,65,126,72,191,408.0,1178.455675,7.875,9280.338443,515.5743579,0.392818558,1.0,,LongMethod
107,64,54,14,13,27,13,10,37,42,80,47,122,225.9690555,677.6598399,10.81081081,7326.052323,407.0029068,0.225886613,1.0,,LongMethod
120,45,49,18,18,38,15,8,19,17,28,27,45,104.7106228,213.9699376,5.894736842,1261.296474,70.07202635,0.071323313,1.0,,LongMethod
125,68,62,3,3,35,25,8,44,30,62,52,92,264.2149912,524.4404541,5.636363636,2955.937105,164.218728,0.174813485,1.0,,LongMethod
83,55,63,5,5,0,15,5,36,20,39,41,59,197.7269405,316.0955683,2.708333333,856.0921641,47.56067578,0.105365189,1.0,,LongMethod
118,62,64,7,7,35,12,16,39,29,56,55,85,270.1306865,491.4155756,11.48717949,5644.97892,313.60994,0.163805192,1.0,,LongMethod
103,46,41,15,15,34,13,8,12,14,23,20,37,67.01955001,159.9113395,7.666666667,1225.986936,68.11038535,0.05330378,1.0,,LongMethod
130,69,73,8,5,32,20,8,29,20,36,37,56,164.8814489,291.7293885,4.965517241,1448.587308,80.47707268,0.097243129,1.0,,LongMethod
236,62,73,3,3,123,37,10,42,27,53,52,80,259.6966127,456.0351775,6.30952381,2877.36481,159.8536006,0.152011726,1.0,,LongMethod
301,87,102,8,8,145,46,9,42,30,59,51,89,255.0066568,504.8458554,6.321428571,3191.347015,177.2970564,0.168281952,1.0,,LongMethod
92,54,65,12,12,0,15,6,17,10,20,23,30,84.99664331,135.7068587,3.529411765,478.9653836,26.60918798,0.04523562,1.0,,LongMethod
159,10,13,0,0,122,24,1,2,1,2,3,3,2.0,4.754887502,0.5,2.377443751,0.132080208,0.001584963,1.0,,LongMethod
260,91,92,59,57,76,35,15,62,50,93,77,143,427.7635302,896.1504753,11.25,10081.69285,560.0940471,0.298716825,1.0,,LongMethod
377,167,177,40,38,93,69,15,154,133,268,169,401,1177.688486,2967.752654,13.05194805,38734.95347,2151.941859,0.989250885,1.0,,LongMethod
406,177,182,33,33,141,50,14,152,143,281,166,424,1154.987951,3127.016719,12.94078947,40466.06504,2248.114724,1.042338906,1.0,,LongMethod
446,181,192,16,16,151,87,14,90,81,162,104,243,637.5697476,1628.206852,12.6,20515.40633,1139.744796,0.542735617,1.0,,LongMethod
95,45,57,0,0,31,7,6,26,20,36,32,56,137.7212077,280.0,4.153846154,1163.076923,64.61538462,0.093333333,1.0,,LongMethod
133,67,79,2,2,28,24,7,91,61,121,98,182,611.8607967,1203.877192,4.653846154,5602.659238,311.2588466,0.401292397,1.0,,LongMethod
86,59,60,8,8,0,18,3,21,12,23,24,35,96.99355338,160.4736875,1.642857143,263.6353438,14.64640799,0.053491229,1.0,,LongMethod
110,72,55,20,20,28,7,6,436,298,577,442,875,3838.438141,7689.414739,3.970183486,30528.38742,1696.021523,2.563138246,1.0,,LongMethod
97,48,78,7,7,0,12,3,37,22,44,40,66,197.504662,351.2472543,1.783783784,626.5491563,34.80828646,0.117082418,1.0,,LongMethod
58,50,41,0,0,0,17,4,15,17,25,19,42,66.60335893,178.4129556,3.333333333,594.7098519,33.03943622,0.059470985,1.0,,LongMethod
245,5,195,14,0,0,50,4,7,9,18,11,27,27.65148445,93.4046537,5.142857143,480.3667905,26.68704392,0.031134885,1.0,,LongMethod
72,16,66,1,0,0,6,5,120,137,204,125,341,840.4365119,2375.332441,4.25,10095.16287,560.8423819,0.79177748,1.0,,LongMethod
65,48,50,2,2,0,13,5,12,67,72,17,139,54.62919048,568.1573349,15.0,8522.360024,473.4644458,0.189385778,1.0,,LongMethod
52,40,41,3,0,0,11,4,11,18,24,15,42,46.05374781,164.089405,4.363636364,716.0264946,39.7792497,0.054696468,1.0,,LongMethod
143,39,42,2,2,74,25,10,106,91,174,116,265,746.3788491,1817.364964,8.20754717,14916.10866,828.6727036,0.605788321,1.0,,LongMethod
95,57,51,7,2,29,13,12,86,83,166,98,249,595.6783189,1647.062751,11.58139535,19075.28489,1059.738049,0.549020917,1.0,,LongMethod
94,43,41,5,3,35,15,9,29,19,38,38,57,169.4107739,299.1318683,5.896551724,1763.846534,97.99147409,0.099710623,1.0,,LongMethod
206,45,53,9,9,107,37,9,40,31,61,49,92,241.4064488,516.5533057,6.8625,3544.84706,196.9359478,0.172184435,1.0,,LongMethod
80,47,50,0,0,20,10,7,96,91,182,103,273,651.8078845,1825.414644,6.635416667,12112.38675,672.9103751,0.608471548,1.0,,LongMethod
64,41,45,0,0,7,12,5,78,50,100,83,150,501.8710135,956.2559147,3.205128205,3064.922804,170.2734891,0.318751972,1.0,,LongMethod
